cch,Cheung Chau
clk,Chek Lap Kok
hko,HK Observatory
hks,Wong Chuk Hang
jkb,Tseung Kwan O
kp,King's Park
ksc,Kau Sai Chau
lfs,Lau Fau Shan
pen,Peng Chau
sek,Shek Kong
sha,Sha Tin
skg,Sai Kung
ssh,Sheung Shui
tkl,Ta Kwu Ling
tpo,Tai Po
tun,Tuen Mun
tw,Tsuen Wan Shing Mun Valley
twn,Tsuen Wan Ho Koon
ty1,Tsing Yi
wgl,Waglan Island
wlp,Wetland Park
