Date,Temp,RH
2019/09/23 0:00,24.9,56
2019/09/23 0:01,24.9,55
2019/09/23 0:02,24.9,55
2019/09/23 0:03,24.9,55
2019/09/23 0:04,24.9,56
2019/09/23 0:05,24.9,56
2019/09/23 0:06,24.8,57
2019/09/23 0:07,24.8,57
2019/09/23 0:08,24.8,57
2019/09/23 0:09,24.8,57
2019/09/23 0:10,24.7,58
2019/09/23 0:11,24.7,58
2019/09/23 0:12,24.6,58
2019/09/23 0:13,24.6,58
2019/09/23 0:14,24.6,58
2019/09/23 0:15,24.6,57
2019/09/23 0:16,24.6,58
2019/09/23 0:17,24.5,59
2019/09/23 0:18,24.6,58
2019/09/23 0:19,24.6,58
2019/09/23 0:20,24.6,58
2019/09/23 0:21,24.6,58
2019/09/23 0:22,24.6,58
2019/09/23 0:23,24.6,59
2019/09/23 0:24,24.6,58
2019/09/23 0:25,24.6,58
2019/09/23 0:26,24.6,58
2019/09/23 0:27,24.6,59
2019/09/23 0:28,24.5,59
2019/09/23 0:29,24.5,59
2019/09/23 0:30,24.5,59
2019/09/23 0:31,24.5,59
2019/09/23 0:32,24.5,59
2019/09/23 0:33,24.5,58
2019/09/23 0:34,24.5,58
2019/09/23 0:35,24.5,59
2019/09/23 0:36,24.5,59
2019/09/23 0:37,24.4,59
2019/09/23 0:38,24.4,60
2019/09/23 0:39,24.4,59
2019/09/23 0:40,24.4,59
2019/09/23 0:41,24.5,59
2019/09/23 0:42,24.4,60
2019/09/23 0:43,24.4,60
2019/09/23 0:44,24.5,59
2019/09/23 0:45,24.5,59
2019/09/23 0:46,24.4,60
2019/09/23 0:47,24.4,60
2019/09/23 0:48,24.4,59
2019/09/23 0:49,24.4,59
2019/09/23 0:50,24.5,59
2019/09/23 0:51,24.5,59
2019/09/23 0:52,24.6,58
2019/09/23 0:53,24.6,59
2019/09/23 0:54,24.6,58
2019/09/23 0:55,24.6,59
2019/09/23 0:56,24.6,59
2019/09/23 0:57,24.6,59
2019/09/23 0:58,24.6,59
2019/09/23 0:59,24.6,58
2019/09/23 1:00,24.6,58
2019/09/23 1:01,24.6,58
2019/09/23 1:02,24.6,58
2019/09/23 1:03,24.6,57
2019/09/23 1:04,24.7,57
2019/09/23 1:05,24.6,58
2019/09/23 1:06,24.7,57
2019/09/23 1:07,24.7,57
2019/09/23 1:08,24.7,57
2019/09/23 1:09,24.6,58
2019/09/23 1:10,24.6,58
2019/09/23 1:11,24.6,58
2019/09/23 1:12,24.6,57
2019/09/23 1:13,24.6,57
2019/09/23 1:14,24.6,57
2019/09/23 1:15,24.7,56
2019/09/23 1:16,24.7,56
2019/09/23 1:17,24.7,56
2019/09/23 1:18,24.7,56
2019/09/23 1:19,24.7,57
2019/09/23 1:20,24.6,58
2019/09/23 1:21,24.6,57
2019/09/23 1:22,24.6,57
2019/09/23 1:23,24.6,57
2019/09/23 1:24,24.6,57
2019/09/23 1:25,24.5,58
2019/09/23 1:26,24.6,57
2019/09/23 1:27,24.6,57
2019/09/23 1:28,24.5,58
2019/09/23 1:29,24.6,57
2019/09/23 1:30,24.6,57
2019/09/23 1:31,24.6,57
2019/09/23 1:32,24.6,57
2019/09/23 1:33,24.6,57
2019/09/23 1:34,24.6,57
2019/09/23 1:35,24.6,57
2019/09/23 1:36,24.6,57
2019/09/23 1:37,24.6,57
2019/09/23 1:38,24.6,57
2019/09/23 1:39,24.6,58
2019/09/23 1:40,24.6,57
2019/09/23 1:41,24.6,57
2019/09/23 1:42,24.6,57
2019/09/23 1:43,24.6,57
2019/09/23 1:44,24.5,59
2019/09/23 1:45,24.5,59
2019/09/23 1:46,24.5,59
2019/09/23 1:47,24.5,58
2019/09/23 1:48,24.5,58
2019/09/23 1:49,24.5,58
2019/09/23 1:50,24.5,57
2019/09/23 1:51,24.5,58
2019/09/23 1:52,24.5,57
2019/09/23 1:53,24.6,57
2019/09/23 1:54,24.6,57
2019/09/23 1:55,24.6,57
2019/09/23 1:56,24.6,57
2019/09/23 1:57,24.6,57
2019/09/23 1:58,24.7,55
2019/09/23 1:59,24.7,55
2019/09/23 2:00,24.6,56
2019/09/23 2:01,24.6,57
2019/09/23 2:02,24.6,57
2019/09/23 2:03,24.6,57
2019/09/23 2:04,24.6,56
2019/09/23 2:05,24.6,57
2019/09/23 2:06,24.5,57
2019/09/23 2:07,24.5,57
2019/09/23 2:08,24.6,56
2019/09/23 2:09,24.6,55
2019/09/23 2:10,24.6,55
2019/09/23 2:11,24.5,56
2019/09/23 2:12,24.5,56
2019/09/23 2:13,24.4,56
2019/09/23 2:14,24.5,55
2019/09/23 2:15,24.5,54
2019/09/23 2:16,24.5,54
2019/09/23 2:17,24.5,55
2019/09/23 2:18,24.5,55
2019/09/23 2:19,24.5,54
2019/09/23 2:20,24.5,55
2019/09/23 2:21,24.5,54
2019/09/23 2:22,24.6,54
2019/09/23 2:23,24.6,54
2019/09/23 2:24,24.5,55
2019/09/23 2:25,24.5,56
2019/09/23 2:26,24.5,55
2019/09/23 2:27,24.5,55
2019/09/23 2:28,24.6,54
2019/09/23 2:29,24.5,55
2019/09/23 2:30,24.5,55
2019/09/23 2:31,24.5,55
2019/09/23 2:32,24.5,56
2019/09/23 2:33,24.5,55
2019/09/23 2:34,24.5,55
2019/09/23 2:35,24.5,55
2019/09/23 2:36,24.5,55
2019/09/23 2:37,24.4,56
2019/09/23 2:38,24.4,56
2019/09/23 2:39,24.4,55
2019/09/23 2:40,24.4,56
2019/09/23 2:41,24.4,56
