Date,Temp,RH
2020/03/17 0:00,19.7,,
2020/03/17 0:01,19.7,,
2020/03/17 0:02,19.7,,
2020/03/17 0:03,19.7,,
2020/03/17 0:04,19.7,,
2020/03/17 0:05,19.7,,
2020/03/17 0:06,19.7,,
2020/03/17 0:07,19.7,,
2020/03/17 0:08,19.7,,
2020/03/17 0:09,19.7,,
2020/03/17 0:10,19.7,,
2020/03/17 0:11,19.7,,
2020/03/17 0:12,19.7,,
2020/03/17 0:13,19.7,,
2020/03/17 0:14,19.7,,
2020/03/17 0:15,19.7,,
2020/03/17 0:16,19.7,,
2020/03/17 0:17,19.7,,
2020/03/17 0:18,19.7,,
2020/03/17 0:19,19.7,,
2020/03/17 0:20,19.7,,
2020/03/17 0:21,19.7,,
2020/03/17 0:22,19.7,,
2020/03/17 0:23,19.7,,
2020/03/17 0:24,19.7,,
2020/03/17 0:25,19.7,,
2020/03/17 0:26,19.7,,
2020/03/17 0:27,19.7,,
2020/03/17 0:28,19.7,,
2020/03/17 0:29,19.7,,
2020/03/17 0:30,19.7,,
2020/03/17 0:31,19.7,,
2020/03/17 0:32,19.7,,
2020/03/17 0:33,19.7,,
2020/03/17 0:34,19.7,,
2020/03/17 0:35,19.7,,
2020/03/17 0:36,19.7,,
2020/03/17 0:37,19.7,,
2020/03/17 0:38,19.7,,
2020/03/17 0:39,19.7,,
2020/03/17 0:40,19.7,,
2020/03/17 0:41,19.7,,
2020/03/17 0:42,19.7,,
2020/03/17 0:43,19.7,,
2020/03/17 0:44,19.7,,
2020/03/17 0:45,19.7,,
2020/03/17 0:46,19.7,,
2020/03/17 0:47,19.7,,
2020/03/17 0:48,19.7,,
2020/03/17 0:49,19.7,,
2020/03/17 0:50,19.7,,
2020/03/17 0:51,19.7,,
2020/03/17 0:52,19.7,,
2020/03/17 0:53,19.7,,
2020/03/17 0:54,19.7,,
2020/03/17 0:55,19.7,,
2020/03/17 0:56,19.7,,
2020/03/17 0:57,19.7,,
2020/03/17 0:58,19.7,,
2020/03/17 0:59,19.7,,
2020/03/17 1:00,19.7,,
2020/03/17 1:01,19.7,,
2020/03/17 1:02,19.7,,
2020/03/17 1:03,19.7,,
2020/03/17 1:04,19.7,,
2020/03/17 1:05,19.7,,
2020/03/17 1:06,19.7,,
2020/03/17 1:07,19.6,,
2020/03/17 1:08,19.6,,
2020/03/17 1:09,19.6,,
2020/03/17 1:10,19.6,,
2020/03/17 1:11,19.6,,
2020/03/17 1:12,19.6,,
2020/03/17 1:13,19.6,,
2020/03/17 1:14,19.6,,
2020/03/17 1:15,19.6,,
2020/03/17 1:16,19.6,,
2020/03/17 1:17,19.6,,
2020/03/17 1:18,19.6,,
2020/03/17 1:19,19.6,,
2020/03/17 1:20,19.6,,
2020/03/17 1:21,19.6,,
2020/03/17 1:22,19.6,,
2020/03/17 1:23,19.6,,
2020/03/17 1:24,19.6,,
2020/03/17 1:25,19.6,,
2020/03/17 1:26,19.6,,
2020/03/17 1:27,19.6,,
2020/03/17 1:28,19.6,,
2020/03/17 1:29,19.6,,
2020/03/17 1:30,19.6,,
2020/03/17 1:31,19.6,,
2020/03/17 1:32,19.6,,
2020/03/17 1:33,19.6,,
2020/03/17 1:34,19.6,,
2020/03/17 1:35,19.6,,
2020/03/17 1:36,19.6,,
2020/03/17 1:37,19.6,,
2020/03/17 1:38,19.6,,
2020/03/17 1:39,19.6,,
2020/03/17 1:40,19.6,,
2020/03/17 1:41,19.6,,
2020/03/17 1:42,19.6,,
2020/03/17 1:43,19.6,,
2020/03/17 1:44,19.6,,
2020/03/17 1:45,19.5,,
2020/03/17 1:46,19.5,,
2020/03/17 1:47,19.5,,
2020/03/17 1:48,19.5,,
2020/03/17 1:49,19.5,,
2020/03/17 1:50,19.5,,
2020/03/17 1:51,19.5,,
2020/03/17 1:52,19.5,,
2020/03/17 1:53,19.5,,
2020/03/17 1:54,19.5,,
2020/03/17 1:55,19.5,,
2020/03/17 1:56,19.5,,
2020/03/17 1:57,19.5,,
2020/03/17 1:58,19.5,,
2020/03/17 1:59,19.4,,
2020/03/17 2:00,19.4,,
2020/03/17 2:01,19.4,,
2020/03/17 2:02,19.4,,
2020/03/17 2:03,19.4,,
2020/03/17 2:04,19.4,,
2020/03/17 2:05,19.4,,
2020/03/17 2:06,19.4,,
2020/03/17 2:07,19.4,,
2020/03/17 2:08,19.4,,
2020/03/17 2:09,19.4,,
2020/03/17 2:10,19.4,,
2020/03/17 2:11,19.4,,
2020/03/17 2:12,19.4,,
2020/03/17 2:13,19.4,,
2020/03/17 2:14,19.3,,
2020/03/17 2:15,19.3,,
2020/03/17 2:16,19.3,,
2020/03/17 2:17,19.3,,
