Date,Temp,RH
2019/10/03 0:00,,,
2019/10/03 0:01,,,
2019/10/03 0:02,25.8,90
2019/10/03 0:03,25.9,,
2019/10/03 0:04,,,
2019/10/03 0:05,,,
2019/10/03 0:06,,,
2019/10/03 0:07,,,
2019/10/03 0:08,,,
2019/10/03 0:09,25.9,89
2019/10/03 0:10,,,
2019/10/03 0:11,,,
2019/10/03 0:12,,,
2019/10/03 0:13,25.9,89
2019/10/03 0:14,25.9,89
2019/10/03 0:15,,,
2019/10/03 0:16,25.9,89
2019/10/03 0:17,,,
2019/10/03 0:18,25.9,89
2019/10/03 0:19,,,
2019/10/03 0:20,25.9,89
2019/10/03 0:21,,,
2019/10/03 0:22,25.9,89
2019/10/03 0:23,,,
2019/10/03 0:24,,,
2019/10/03 0:25,,,
2019/10/03 0:26,25.9,89
2019/10/03 0:27,,,
2019/10/03 0:28,,,
2019/10/03 0:29,,,
2019/10/03 0:30,,,
2019/10/03 0:31,,,
2019/10/03 0:32,,,
2019/10/03 0:33,25.9,89
2019/10/03 0:34,,,
2019/10/03 0:35,,,
2019/10/03 0:36,,,
2019/10/03 0:37,,,
2019/10/03 0:38,,,
2019/10/03 0:39,,,
2019/10/03 0:40,,,
2019/10/03 0:41,,,
2019/10/03 0:42,,,
2019/10/03 0:43,,,
2019/10/03 0:44,,,
2019/10/03 0:45,26.0,89
2019/10/03 0:46,,,
2019/10/03 0:47,,,
2019/10/03 0:48,,,
2019/10/03 0:49,,,
2019/10/03 0:50,,,
2019/10/03 0:51,,,
2019/10/03 0:52,26.0,89
2019/10/03 0:53,,,
2019/10/03 0:54,,,
2019/10/03 0:55,,,
2019/10/03 0:56,,,
2019/10/03 0:57,,,
2019/10/03 0:58,,,
2019/10/03 0:59,,,
2019/10/03 1:00,,,
2019/10/03 1:01,,,
2019/10/03 1:02,,,
2019/10/03 1:03,26.0,89
2019/10/03 1:04,,,
2019/10/03 1:05,,,
2019/10/03 1:06,,,
2019/10/03 1:07,,,
2019/10/03 1:08,,,
2019/10/03 1:09,,,
2019/10/03 1:10,,,
2019/10/03 1:11,,,
2019/10/03 1:12,,,
2019/10/03 1:13,,,
2019/10/03 1:14,,,
2019/10/03 1:15,,,
2019/10/03 1:16,,,
2019/10/03 1:17,,,
2019/10/03 1:18,,,
2019/10/03 1:19,,,
2019/10/03 1:20,,,
2019/10/03 1:21,,,
2019/10/03 1:22,,,
2019/10/03 1:23,,,
2019/10/03 1:24,26.0,88
2019/10/03 1:25,,,
2019/10/03 1:26,,,
2019/10/03 1:27,26.0,88
2019/10/03 1:28,25.9,89
2019/10/03 1:29,25.9,89
2019/10/03 1:30,25.9,89
2019/10/03 1:31,26.0,88
2019/10/03 1:32,26.0,88
2019/10/03 1:33,26.0,88
2019/10/03 1:34,26.0,88
2019/10/03 1:35,26.0,88
2019/10/03 1:36,26.0,88
2019/10/03 1:37,26.0,88
2019/10/03 1:38,26.0,88
2019/10/03 1:39,26.0,89
2019/10/03 1:40,26.0,89
2019/10/03 1:41,26.0,89
2019/10/03 1:42,26.1,88
2019/10/03 1:43,26.0,89
2019/10/03 1:44,26.1,88
2019/10/03 1:45,26.1,88
2019/10/03 1:46,26.0,89
2019/10/03 1:47,26.0,89
2019/10/03 1:48,26.0,89
2019/10/03 1:49,26.0,89
2019/10/03 1:50,26.0,89
2019/10/03 1:51,26.0,89
2019/10/03 1:52,26.0,89
2019/10/03 1:53,26.0,89
2019/10/03 1:54,26.0,89
2019/10/03 1:55,26.0,89
2019/10/03 1:56,26.0,88
2019/10/03 1:57,26.0,88
2019/10/03 1:58,26.0,88
